Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2021,Stephen Curry,63,18.1,1142,928,61.5,9.7
2019,Stephen Curry,69,17.8,1229,995,61.8,12.2
2016,Stephen Curry,79,17.3,1367,1073,63.7,16.6
2006,Kobe Bryant,80,17.1,1371,1492,45.9,0.9
2004,Tracy McGrady,67,16.3,1091,1198,45.5,2.4
1997,Michael Jordan,82,16.0,1311,1335,49.1,6.2
2003,Allan Houston,82,15.8,1296,1240,52.3,8.9
2013,Stephen Curry,78,15.7,1222,1061,57.6,11.4
2006,Ray Allen,78,15.6,1215,1107,54.9,9.8
2003,Tracy McGrady,75,15.6,1173,1202,48.8,5.5
2018,Stephen Curry,51,15.5,792,623,63.6,14.1
2019,James Harden,78,15.4,1202,1108,54.2,4.7
2014,Carmelo Anthony,77,15.3,1179,1176,50.1,3.4
2022,Stephen Curry,64,15.2,973,878,55.4,5.2
2014,Stephen Curry,78,15.1,1181,1019,57.9,11.2
2018,Klay Thompson,73,14.8,1079,916,58.9,9.4
2017,Stephen Curry,79,14.8,1166,991,58.8,10.5
2013,Carmelo Anthony,67,14.7,983,984,49.9,3.8
2021,CJ McCollum,47,14.7,693,609,56.9,5.1
2019,Paul George,77,14.7,1130,1062,53.2,3.6
2007,Ray Allen,55,14.7,809,814,49.7,4.2
2017,Klay Thompson,78,14.6,1138,1020,55.8,7.5
2022,Kyrie Irving,29,14.6,424,397,53.4,3.2
2021,Damian Lillard,67,14.5,969,868,55.8,4
2022,Kevin Durant,55,14.5,797,707,56.4,6.2
2019,Klay Thompson,78,14.5,1129,1047,53.9,4.3
2022,Klay Thompson,32,14.5,465,437,53.2,3
2022,Devin Booker,68,14.4,981,940,52.2,2
2017,Carmelo Anthony,74,14.3,1057,1079,49,0.7
2020,D'Angelo Russell,45,14.3,644,604,53.3,2.8
2001,Vince Carter,75,14.3,1076,1094,49.2,5.7
2020,Damian Lillard,66,14.2,940,817,57.5,7
2001,Jerry Stackhouse,80,14.1,1124,1368,41.1,-2.4
2002,Allan Houston,77,14.0,1078,1071,50.3,6.5
2017,Paul George,75,14.0,1053,999,52.7,4.4
2019,RJ Hunter,1,14.0,14,11,63.6,14.1
2004,Allan Houston,50,13.9,697,690,50.5,7.4
2007,Kobe Bryant,77,13.9,1071,1147,46.7,1.2
2002,Ray Allen,69,13.9,959,825,58.1,14.3
2007,Tracy McGrady,71,13.9,990,1085,45.6,0.2
2014,Dirk Nowitzki,80,13.8,1107,1038,53.3,6.6
2006,Gilbert Arenas,80,13.7,1097,1129,48.6,3.5
2007,Gilbert Arenas,74,13.7,1013,1086,46.6,1.2
2003,Kobe Bryant,82,13.7,1124,1237,45.4,2.1
2006,Mike Bibby,82,13.7,1120,1137,49.3,4.2
2015,Stephen Curry,80,13.7,1092,924,59.1,12.8
2020,Buddy Hield,72,13.6,977,894,54.6,4.2
2022,Fred VanVleet,65,13.6,887,823,53.9,3.7
2022,Paul George,31,13.6,421,431,48.8,-1.4
2020,James Harden,68,13.5,917,862,53.2,2.7
2016,Klay Thompson,80,13.5,1082,946,57.2,10.1
2009,Dirk Nowitzki,81,13.4,1089,1120,48.6,2.2
2005,Tracy McGrady,78,13.4,1046,1157,45.2,0.8
2002,Allen Iverson,60,13.3,798,1038,38.4,-5.4
2018,Kevin Durant,68,13.3,907,803,56.5,7
2006,Tracy McGrady,47,13.3,623,733,42.5,-2.6
2019,Buddy Hield,82,13.2,1081,935,57.8,8.2
2009,Danny Granger,67,13.2,884,845,52.3,5.9
2016,Kevin Durant,72,13.2,950,877,54.2,7.1
2005,Ray Allen,78,13.2,1029,1043,49.3,4.9
2006,Dirk Nowitzki,81,13.1,1064,1028,51.8,6.7
2004,Peja Stojakovic,81,13.1,1062,959,55.4,12.3
2000,Allan Houston,82,13.0,1064,978,54.4,10.7
2003,Dirk Nowitzki,80,13.0,1037,1076,48.2,4.9
2000,Glenn Robinson,81,13.0,1052,1067,49.3,5.6
2019,JJ Redick,76,13.0,987,885,55.8,6.2
2021,Zach LaVine,58,13.0,754,645,58.4,6.7
2020,Bradley Beal,57,12.9,734,751,48.9,-1.6
2022,CJ McCollum,62,12.9,802,737,54.4,4.2
2002,Cuttino Mobley,74,12.9,953,984,48.4,4.6
2018,Devin Booker,54,12.9,695,674,51.6,2.1
2021,Donovan Mitchell,53,12.9,686,632,54.3,2.5
2004,Jamal Mashburn,19,12.9,245,287,42.7,-0.4
2012,Kobe Bryant,58,12.9,751,883,42.5,-2.1
2002,Michael Jordan,60,12.9,776,956,40.6,-3.2
1997,Mitch Richmond,81,12.9,1042,1105,47.1,4.2
2022,Trae Young,76,12.9,979,874,56,5.8
2021,Buddy Hield,71,12.8,911,810,56.2,4.4
2015,Klay Thompson,77,12.8,989,878,56.3,10
2017,Kyrie Irving,72,12.8,923,850,54.3,6
2021,Paul George,54,12.8,691,595,58.1,6.3
2014,Ryan Anderson,22,12.8,281,250,56.2,9.4
2002,Vince Carter,60,12.8,765,842,45.4,1.6
2007,Ben Gordon,82,12.7,1042,998,52.2,6.7
2017,CJ McCollum,80,12.7,1015,915,55.5,7.2
2020,CJ McCollum,70,12.7,886,823,53.8,3.3
2012,Dirk Nowitzki,62,12.7,788,809,48.7,4
2011,Kevin Durant,78,12.7,987,1077,45.8,-0.1
2014,Kevin Durant,81,12.7,1028,999,51.5,4.7
1998,Michael Jordan,82,12.7,1039,1225,42.4,-0.5
2002,Paul Pierce,82,12.7,1040,1045,49.8,5.9
2017,Russell Westbrook,81,12.7,1032,1177,43.8,-4.5
2021,Brandon Ingram,61,12.6,770,729,52.8,1
2010,Dirk Nowitzki,81,12.6,1023,1052,48.6,3
2019,Kemba Walker,82,12.6,1031,992,52,2.4
2021,Kyrie Irving,54,12.6,680,584,58.2,6.4
2001,Allan Houston,78,12.5,973,943,51.6,8.1
2016,CJ McCollum,80,12.5,1003,934,53.7,6.6
2018,Damian Lillard,73,12.5,909,867,52.4,3
2021,Kevin Durant,35,12.5,437,369,59.2,7.4
2003,Ray Allen,76,12.5,953,930,51.2,7.9
2015,Carmelo Anthony,40,12.4,497,547,45.4,-0.8
2016,Damian Lillard,75,12.4,933,895,52.1,5
2011,Dirk Nowitzki,73,12.4,904,834,54.2,8.3
2022,Donovan Mitchell,67,12.4,830,805,51.6,1.3
1998,Glenn Robinson,56,12.4,697,756,46.1,3.2
2018,James Harden,72,12.4,895,848,52.8,3.3
2018,JJ Redick,70,12.4,871,755,57.7,8.2
2020,Paul George,48,12.4,593,543,54.6,4.1
2009,Ben Gordon,82,12.3,1011,939,53.8,7.4
2003,Jalen Rose,82,12.3,1010,1140,44.3,1
2009,Jason Terry,74,12.3,907,866,52.4,5.9
2015,Kevin Durant,27,12.3,332,302,55,8.7
2004,Michael Finley,72,12.3,888,889,49.9,6.8
1998,Mitch Richmond,70,12.3,861,889,48.4,5.6
2021,Nikola Vucevic,70,12.3,860,811,53,1.2
2002,Sam Cassell,74,12.3,908,942,48.2,4.4
2017,Bradley Beal,77,12.2,936,829,56.5,8.2
2019,Damian Lillard,80,12.2,973,924,52.7,3.1
2005,Dirk Nowitzki,78,12.2,955,1041,45.9,1.5
2003,Glenn Robinson,69,12.2,840,883,47.6,4.2
2008,Jamal Crawford,80,12.2,976,986,49.5,3.4
2008,Jason Richardson,82,12.2,1002,964,52,5.9
2007,Joe Johnson,57,12.2,698,704,49.6,4.1
2017,Kemba Walker,79,12.2,964,892,54,5.7
2012,Kevin Durant,66,12.2,803,778,51.6,6.9
2020,Khris Middleton,62,12.2,755,650,58.1,7.6
2014,Klay Thompson,81,12.2,991,913,54.3,7.5
2020,Kyrie Irving,20,12.2,244,226,54,3.5
2022,Damian Lillard,29,12.1,352,374,47.1,-3.2
2009,Kobe Bryant,82,12.1,992,1093,45.4,-1
2010,Kobe Bryant,73,12.1,883,948,46.6,0.9
2016,Paul George,81,12.1,978,1040,47,-0.1
2008,Peja Stojakovic,77,12.1,935,833,56.1,10.1
2008,Tracy McGrady,66,12.1,798,918,43.5,-2.6
2001,Allen Iverson,71,12.0,852,1030,41.4,-2.1
2004,Baron Davis,67,12.0,805,902,44.6,1.5
2016,Dirk Nowitzki,75,12.0,902,923,48.9,1.8
1997,Glen Rice,79,12.0,946,846,55.9,13
2015,JJ Redick,78,12.0,934,783,59.6,13.4
2016,JJ Redick,75,12.0,901,738,61,13.9
2017,Kawhi Leonard,74,12.0,885,855,51.8,3.5
2015,Kevin Martin,39,12.0,467,479,48.7,2.5
2018,Kyrie Irving,60,12.0,722,630,57.3,7.8
2019,Kyrie Irving,67,12.0,802,714,56.2,6.6
2004,Ray Allen,56,12.0,674,682,49.4,6.3
2000,Vince Carter,82,12.0,981,1093,44.9,1.2
2019,D'Angelo Russell,81,11.9,966,938,51.5,1.9
