Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2000,Shaquille O'Neal,79,22.5,1774,1460,60.8,7.8
1998,Shaquille O'Neal,60,20.8,1248,1007,62,8.6
2021,Zion Williamson,61,20.3,1236,987,62.6,6.5
1999,Shaquille O'Neal,49,20.1,986,820,60.1,8.3
2002,Shaquille O'Neal,67,20.1,1348,1096,61.5,8.8
2001,Shaquille O'Neal,74,20.0,1480,1223,60.5,8.5
1997,Shaquille O'Neal,51,19.6,1000,845,59.2,7.2
2003,Shaquille O'Neal,67,19.6,1312,1081,60.7,8.2
2020,Giannis Antetokounmpo,63,17.5,1102,829,66.5,10.8
2019,Giannis Antetokounmpo,72,17.5,1258,930,67.6,12.1
2005,Shaquille O'Neal,73,17.3,1266,1005,63,9.9
2020,Zion Williamson,24,16.8,402,335,60,4.4
2021,Giannis Antetokounmpo,61,16.7,1016,736,69,12.9
2022,Ja Morant,57,16.6,948,852,55.6,-1
2022,Nikola Jokic,74,16.2,1198,896,66.9,10.2
2004,Shaquille O'Neal,67,16.0,1070,873,61.3,9.3
2006,Shaquille O'Neal,59,15.9,936,753,62.2,8.3
2022,Giannis Antetokounmpo,67,15.9,1066,798,66.8,10.2
2018,Giannis Antetokounmpo,75,15.7,1174,928,63.3,7.9
2018,Anthony Davis,75,15.4,1156,896,64.5,9.2
2012,Dwight Howard,54,15.0,810,693,58.4,5
2020,Russell Westbrook,57,15.0,856,771,55.5,-0.1
2020,Montrezl Harrell,63,14.8,934,765,61,5.4
2011,Dwight Howard,78,14.5,1130,905,62.4,8
2021,Nikola Jokic,72,14.4,1038,821,63.2,7.1
2018,LeBron James,82,14.4,1182,873,67.7,12.4
2022,Anthony Davis,40,14.3,570,430,66.3,9.7
2022,LeBron James,56,14.3,802,589,68.1,11.5
2019,Anthony Davis,56,14.3,798,647,61.7,6.1
2020,Andre Drummond,57,14.3,816,731,55.8,0.2
2009,Al Jefferson,50,14.1,706,638,55.3,0.9
2019,Clint Capela,67,14.1,948,726,65.3,9.7
2005,Amar'e Stoudemire,80,14.1,1126,912,61.7,8.6
2017,Karl-Anthony Towns,82,14.1,1154,921,62.6,7.5
2007,Shaquille O'Neal,40,14.0,558,453,61.6,6.8
2012,Andrew Bynum,60,14.0,840,716,58.7,5.2
2016,LeBron James,76,14.0,1064,819,65,11
2017,LeBron James,74,13.9,1032,737,70,14.9
2008,Amar'e Stoudemire,79,13.9,1096,848,64.6,10.2
2007,Eddy Curry,81,13.9,1128,959,58.8,4.1
2019,Andre Drummond,79,13.8,1094,977,56,0.4
2011,Blake Griffin,82,13.8,1128,983,57.4,2.9
2000,Antawn Jamison,43,13.7,590,553,53.3,0.4
2007,Carmelo Anthony,65,13.7,892,747,59.7,5
2012,Blake Griffin,66,13.7,902,707,63.8,10.4
2009,Dwight Howard,79,13.7,1084,916,59.2,4.7
2008,Dwight Howard,82,13.7,1122,894,62.8,8.3
2007,Carlos Boozer,74,13.6,1008,790,63.8,9
2014,LeBron James,77,13.6,1050,720,72.9,18.9
2020,Deandre Ayton,38,13.5,512,416,61.5,5.9
2020,John Collins,41,13.5,554,413,67.1,11.4
2019,LeBron James,55,13.5,744,593,62.7,7.2
2001,Chris Webber,70,13.5,948,856,55.4,3.4
2014,Al Jefferson,73,13.5,984,823,59.8,5.7
2010,Amar'e Stoudemire,82,13.5,1110,905,61.3,5.9
2016,DeMarcus Cousins,65,13.4,874,857,51,-3
2014,Blake Griffin,80,13.4,1068,851,62.7,8.7
2008,Al Jefferson,82,13.4,1098,988,55.6,1.1
1999,Chris Webber,42,13.3,558,461,60.5,8.7
2019,Ben Simmons,79,13.3,1052,887,59.3,3.7
2014,Nikola Pekovic,54,13.2,714,632,56.5,2.4
2022,Deandre Ayton,58,13.2,766,563,68,11.4
