Season,Team,Opponent eFG%,Opponent TS%
2021-22,ATL,54.3,57.5
2020-21,ATL,53.0,56.6
2019-20,ATL,54.3,58.2
2018-19,ATL,54.1,58.0
2017-18,ATL,53.6,56.8
2016-17,ATL,50.7,54.1
2015-16,ATL,48.0,51.8
2014-15,ATL,49.2,52.8
2013-14,ATL,51.0,54.5
2012-13,ATL,49.6,53.1
2011-12,ATL,48.0,51.7
2010-11,ATL,49.5,53.7
2009-10,ATL,49.6,53.5
2008-09,ATL,49.4,53.5
2007-08,ATL,50.1,54.1
2006-07,ATL,50.3,54.9
2005-06,ATL,51.3,55.9
2004-05,ATL,51.3,56.4
2003-04,ATL,47.6,52.2
2002-03,ATL,46.9,51.4
2001-02,ATL,49.5,53.5
2000-01,ATL,47.2,52.2
1999-00,ATL,48.1,52.1
1998-99,ATL,43.7,48.0
1997-98,ATL,46.8,50.6
1996-97,ATL,47.2,51.0
1995-96,ATL,51.2,55.0
1994-95,ATL,49.5,53.3
1993-94,ATL,47.5,51.1
1992-93,ATL,51.6,55.6
1991-92,ATL,49.7,53.7
1990-91,ATL,50.9,55.0
1989-90,ATL,50.9,55.5
1988-89,ATL,48.2,53.4
1987-88,ATL,48.1,53.6
1986-87,ATL,46.0,51.8
1985-86,ATL,48.1,53.3
1984-85,ATL,48.5,53.3
1983-84,ATL,48.2,53.4
1982-83,ATL,47.3,51.4
1981-82,ATL,47.3,52.8
1980-81,ATL,49.8,55.2
1979-80,ATL,46.1,51.9
1978-79,ATL,48.9,54.3
1977-78,ATL,47.4,53.5
1976-77,ATL,47.8,52.9
2021-22,BOS,50.2,53.8
2020-21,BOS,53.9,57.7
2019-20,BOS,50.9,54.9
2018-19,BOS,51.4,55.0
2017-18,BOS,49.5,53.2
2016-17,BOS,50.3,54.5
2015-16,BOS,48.7,53.1
2014-15,BOS,49.4,53.3
2013-14,BOS,50.5,54.7
2012-13,BOS,48.2,52.3
2011-12,BOS,45.2,49.8
2010-11,BOS,46.9,51.6
2009-10,BOS,48.7,53.4
2008-09,BOS,47.0,52.1
2007-08,BOS,45.7,50.8
2006-07,BOS,50.2,55.1
2005-06,BOS,49.0,54.1
2004-05,BOS,48.1,53.3
2003-04,BOS,47.9,52.3
2002-03,BOS,47.1,51.8
2001-02,BOS,46.4,51.5
2000-01,BOS,49.3,54.0
1999-00,BOS,49.8,55.2
1998-99,BOS,46.5,52.0
1997-98,BOS,50.4,56.2
1996-97,BOS,53.9,57.5
1995-96,BOS,51.1,55.6
1994-95,BOS,51.2,55.0
1993-94,BOS,49.4,53.8
1992-93,BOS,47.9,52.8
1991-92,BOS,46.9,51.4
1990-91,BOS,46.5,51.1
1989-90,BOS,47.7,52.3
1988-89,BOS,49.3,54.1
1987-88,BOS,48.9,53.5
1986-87,BOS,47.1,51.5
1985-86,BOS,46.6,50.9
1984-85,BOS,48.1,52.2
1983-84,BOS,47.5,52.1
1982-83,BOS,47.3,52.0
1981-82,BOS,47.2,51.6
1980-81,BOS,46.4,51.4
1979-80,BOS,47.5,52.3
1978-79,BOS,50.8,54.6
1977-78,BOS,45.6,50.4
1976-77,BOS,45.0,49.3
2021-22,BRK,52.1,55.9
2020-21,BRK,53.1,56.5
2019-20,BRK,51.1,54.6
2018-19,BRK,51.2,54.8
2017-18,BRK,51.7,55.3
2016-17,BRK,51.3,55.2
2015-16,BRK,53.4,56.5
2014-15,BRK,50.6,53.9
2013-14,BRK,50.9,55.1
2012-13,BRK,50.3,53.4
1977-78,BUF,47.6,52.0
1976-77,BUF,47.8,51.4
2013-14,CHA,49.1,52.6
2012-13,CHA,52.4,55.8
2011-12,CHA,51.2,54.9
2010-11,CHA,50.0,54.4
2009-10,CHA,49.1,52.8
2008-09,CHA,49.8,54.1
2007-08,CHA,50.5,54.7
2006-07,CHA,50.0,55.0
2005-06,CHA,51.4,55.8
2004-05,CHA,49.7,54.7
2001-02,CHH,46.5,51.2
